-,-,-
-939, -236, 96
-939, -236, 96
-913, -296, 136
-865, -336, 92
-804, -395, 46
-771, -381, 204
-741, -277, 315
-657, -250, 357
-530, -321, 310
-374, -397, 242
-196, -360, 175
-74, -153, 290
-74, -153, 290
-37, 116, 308
-65, 390, 219
-149, 680, 191
-232, 906, 343
-299, 1097, 498
-377, 1267, 558
-377, 1267, 558
-546, 1470, 652
-695, 1590, 806
-764, 1563, 941
-771, 1453, 1034
-830, 1241, 1163
-966, 1131, 1039
-1144, 1050, 991
-1253, 857, 1223
-1258, 400, 1381
-1313, -64, 1504
-1381, -492, 1532
-1401, -816, 1422
-1391, -1068, 1241
-1377, -1180, 982
-1349, -1238, 797
-1278, -1176, 730
-1234, -1055, 729
-1117, -983, 677
-852, -1066, 601
-619, -1135, 456
-476, -1056, 334
-234, -1040, 260
-53, -924, 210
100, -825, 77
159, -627, 8
187, -401, 10
187, -401, -18
188, -156, -18
195, 39, 120
205, 243, 163
138, 485, 76
-11, 712, 129
-11, 712, 129
-268, 1051, 221
-,-,-
-935, -592, 123
-878, -721, 330
-781, -707, 433
-640, -760, 205
-477, -789, 76
-365, -696, 151
-190, -632, 214
-10, -508, 220
113, -203, 276
113, -203, 276
178, 200, 371
138, 601, 430
18, 1012, 367
-130, 1268, 392
-299, 1474, 470
-436, 1550, 570
-525, 1537, 566
-525, 1537, 566
-582, 1456, 573
-614, 1396, 652
-692, 1340, 749
-786, 1282, 798
-933, 1191, 862
-1110, 1207, 965
-1294, 1149, 1121
-1493, 943, 1327
-1650, 525, 1511
-1733, -16, 1846
-1682, -603, 1919
-1541, -1064, 1744
-1429, -1303, 1441
-1338, -1383, 1097
-1144, -1447, 826
-876, -1478, 745
-601, -1481, 623
-377, -1422, 460
-143, -1281, 226
67, -1103, 85
251, -894, 37
407, -673, 61
492, -394, 81
541, -165, 31
541, -165, 31
472, 132, 60
281, 539, 83
-,-,-
-409, -566, 217
-315, -559, 80
-315, -559, 80
-198, -495, 310
-80, -395, 440
23, -214, 326
-39, 182, 329
-201, 661, 402
-321, 969, 529
-422, 1226, 559
-422, 1226, 559
-587, 1497, 640
-779, 1655, 810
-897, 1710, 763
-969, 1616, 745
